===== Mythica Affordance Library [2026-08-02] EA-only cleaned =====
affordance: 36620 (EA only, MOD lines removed)
列: 名字 | 模块 | super/auto/user 标志 | tgt=目标类型 | cat=菜单分类 | ages=年龄线索(test_globals) | src=EA | guid
Alchemist_NastyTalk_OfferHoles | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=4052200261
Alchemist_NastyTalk_SluttySuggestion | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=3366774166
Alchemist_NastyTalk_SpeakWithASexyTone | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=3785708922
Alchemist_NastyTalk_TeaseAboutAnal | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=2375868686
Alchemist_NastyTalk_WhisperDirtyThings | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=4282686357
Alchemist_Watersports_AskToIncludePeeInNextWoohoo | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=2149858562
Alchemist_Watersports_ComplainAboutExcessivePeeProblem | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=sim_SubCat_Friendly_SmallTalk | ages=- | src=EA | guid=3752533927
Alchemist_Watersports_DidYouJustPeeYourself | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=3545085884
Alchemist_Watersports_ExplainPissAppeal | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=3319432272
Alchemist_Watersports_GetSimInTheMoodForWatersports | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=2874936940
Alchemist_Watersports_HaveSomeFunWith1SimFirstName | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=- | ages=- | src=EA | guid=3471721223
Alchemist_Watersports_IWantToWatchYouPee | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=3708679765
Alchemist_Watersports_PeeSelf | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=3799656395
Alchemist_Watersports_RandomlyBringUpPiss | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=2221139311
Alchemist_Watersports_TalkAboutWatersportsFantasy | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=3464958352
Alchemist_Watersports_TeaseAboutPissKink | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=4291677002
Alchemist_Watersports_TryToHoldItIn | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_Watersports_PieCategoryWatersp | ages=- | src=EA | guid=4138063190
AnimalEnthusiast_PlayTo_Guitar | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=258171
AnimalEnthusiast_PlayTo_Piano | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=261891
AnimalEnthusiast_PlayTo_Piano_Child | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=CHILD | src=EA | guid=265693
AnimalEnthusiast_PlayTo_Picker_Guitar | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_AnimalObjects_Socialize | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=258167
AnimalEnthusiast_PlayTo_PipeOrgan | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=265316
AnimalEnthusiast_PlayTo_PipeOrgan_Child | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=CHILD | src=EA | guid=265699
AnimalEnthusiast_PlayTo_PortableKeyboard | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=261889
AnimalEnthusiast_PlayTo_PortableKeyboard_Child | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,YOUNGADULT | src=EA | guid=265701
AnimalEnthusiast_PlayTo_Violin | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,TEEN,YOUNGADULT | src=EA | guid=260727
AnimalObjects_AnimalClothing_CraftClothes | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=265373
AnimalObjects_ImmediateInteractions_GardeningHelp_Start_RabbitHome | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=342967
Apartment-travel_here_with_Picker_base | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=241642
ApartmentBulletinBoard_ReadAboutFestival | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=145224
ApartmentPicker_TravelTo_Interaction_Base | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=241644
ApartmentProblems_ComplainToLandlord_Picker | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=149286
ApothecaryCraftObject_Practice_Mentoring | sims4.tuning.instances | super=Y auto=Y user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=447298
ApothecaryCraftTable_CleanUp_CuresAndElixirs | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=446386
ApothecaryCraftTable_DiscardElixir | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=439680
ApothecaryCraftTable_Staging_CruesAndElixirs | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=439227
ApothecaryCraftTable_StartCraftingProcess | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=439678
ApplyAwayAction | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=- | ages=- | src=EA | guid=75564
ApplyAwayAction_BuildSkill | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=category_AwayAction_BuildSkill | ages=- | src=EA | guid=76143
ApplyDefaultAwayAction | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=- | ages=- | src=EA | guid=75565
ArcadeMachine_RepairArcadeMachine | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=127415
ArcadeMachine_WatchArcadeGame | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=127417
Argument | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=TARGET | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=159284
Argument_Reconcile | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=sim_SubCat_Friendly_DeepThoughts | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=159387
Argument_Target | sims4.tuning.instances | super=Y auto=N user=N | tgt=TARGET | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=159399
ArrangementTable_CreateArrangement_inProgress | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=188413
AskMotherNatureToChange_EP19World_EnchantedSprings_Angry | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444125
AskMotherNatureToChange_EP19World_EnchantedSprings_Bored | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444121
AskMotherNatureToChange_EP19World_EnchantedSprings_Confident | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444126
AskMotherNatureToChange_EP19World_EnchantedSprings_Embarrassed | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444127
AskMotherNatureToChange_EP19World_EnchantedSprings_Energized | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444123
AskMotherNatureToChange_EP19World_EnchantedSprings_Flirty | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444131
AskMotherNatureToChange_EP19World_EnchantedSprings_Focused | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444124
AskMotherNatureToChange_EP19World_EnchantedSprings_Happy | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=444132
